CURIE,Label,Type,Definition,Parent,Disjoint classes,Inverse property,Domain,Range,isPerformedAt,isPerformedOn,hasLocation,isResultOf,hasResult,hasSample,isSampleOf,ProcessInvolved,conductsExperimentsIn,hasSampleType,hasSampleID,isCollectedFrom,isMeasuredIn,isControlledByDevice,isMeasuredByDevice,makesMeasurement,hasMeasurement,isMeasurementOf,relatesToMeasurement,relatesToProperty,measuresProperty,detectProperty,isPropertyOf,hasProperty,hasSensorType,base_name,base_value,has_value,has_version,name,update_time
http://purl.obolibrary.org/obo/CHEBI_33655,aromatic compound,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_37808,butane,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_63248,oxidising agent,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://semanticscience.org/resource/SIO_000770,StandardDeviation,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://semanticscience.org/resource/SIO_001109,Mean,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/ViableCount,TVC,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/Wavelength,Wavelength,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHMO_0000937,Reflectance,class,,Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHMO_0000801,Absorbance,class,,Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01001406,Laboratory,class,,,,,,,,,Location,,,,,,Cattle| Distributor| Farm| Fishery| Poultry| Retailer| SlaughterHouse| Processor,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000015,Process,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0000185,ImagingSpectroscopy,class,,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHMO_0001000,Chromatography,class,,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C48807,Chemical,class,,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C25341,Location,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C25407,Address,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C42775,E-mail Address,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasLocation,hasLocation,object property,"The location of, for example, where an event is happening, where an organization is located, or where an action takes place.",,,,,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasLatitude,hasLatitude,data property,The latitude of a location. For example 37.42242 (WGS 84).,,,,Location,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasLongitude,hasLongitude,data property,The longitude of a location. For example -122.08585 (WGS 84).,,,,Location,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasAddress,hasAddress,object property,"The address of an geographical entity, for example, address of an organization",,,,,Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://semanticscience.org/resource/SIO_000089,Dataset,class,,,,,,,,,,,,Sample,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.w3.org/ns/sosa/FeatureOfInterest,FeatureOfInterest,class,,,,,,,,,,,,,,,,,,,,,,,Measurement,,,,,,,Property,,,,,,,
http://www.w3.org/ns/sosa/Sample,Sample,class,,FeatureOfInterest,Dataset,,,,,,Location,,,,Dataset,,,Sampletype,1,Cattle| Distributor| Farm| Fishery| Poultry| Retailer| SlaughterHouse| Processor,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C42778,Uniform Resource Identifier,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/FOODON_03400361,Sampletype,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/Measurement,Measurement,class,Represents the measured value made over a property. It is also linked to the unit of measure in which the value is expressed and the timestamp of the measurement.,,,,,,,,,,,,,,,,,,1,,,,,FeatureOfInterest,,1,,,,,,,,1,,,xsd:dateTime
http://www.w3.org/ns/sosa/Result,Result,class,,,,,,,,,,Experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C42790,Experiment,class,,,,,,,Laboratory,Sample,,,Result,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.w3.org/ns/sosa/Sensor,Sensor,class,,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.w3.org/ns/ssn/Property,Property,class,,,,,,,,,,,,,,,,,,,,Device,Device,,,,Measurement,,,,FeatureOfInterest,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C62103,Device,class,,,Sensor,,,,,,,,,,,,,,,,,,,Measurement,,,,,Property,,,,,,,,,,
https://saref.etsi.org/core/UnitOfMeasure,UnitOfMeasure,class,"The unit of measure is a standard for measurement of a quantity, such as a Property. For example, Power is a property and Watt is a unit of power that represents a definite predetermined power: when we say 10 Watt, we actually mean 10 times the definite predetermined power called ""watt"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C48871,Date ,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.w3.org/ns/sosa/isResultOf,isResultOf,object property,Relation linking a Result to the Experiment that created or caused it.,,,hasResult,Result,Experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.w3.org/ns/sosa/hasResult,hasResult,object property,"Relation linking an Observation and a Sensor or Actuator and a Result, which contains a value representing the value associated with the observed Property.",,,isResultOf,Experiment,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#ProcessInvolved,ProcessInvolved,object property,Relation linking a process to the entities that are involved in that process.,,,,Device,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#conductsExperimentsIn,conductsExperimentsIn,object property,Relation linking an experiment to the location where it is conducted.,,,,Laboratory,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.w3.org/ns/sosa/hasSample,hasSample,object property,Relation between a Dataset and the Sample used to represent it.,,,isSampleOf,Dataset,Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.w3.org/ns/sosa/isSampleOf,isSampleOf,object property,Relation from a Sample to the Dataset that it is intended to be representative of.,,,hasSample,Sample,Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasSampleType,hasSampleType,object property,Relation linking a sample to its type,,,,Sample,Sampletype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#isCollectedFrom,isCollectedFrom,object property,Relation linking a sample to the entity or location from which it was collected,,,,Sample,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#isPerformedAt,isPerformedAt,object property,Relation linking an activity to the location where it is performed,,,,Experiment,Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#isPerformedOn,isPerformedOn,object property,Relation linking an activity to the object or material on which it is performed,,,,Experiment,Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/hasMeasurement,hasMeasurement,object property,A relationship between a feature of interest and a measurement about it,,,,FeatureOfInterest,Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/hasProperty,hasProperty,object property,A relationship between a feature of interest and a property of that feature,,,isPropertyOf,FeatureOfInterest,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasSensorType,hasSensorType,object property,"A relationship identifying the type of a sensor in a device (i.e., Enose, HPLC, MSI, etc.)",,,,Device,Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/isPropertyOf,isPropertyOf,object property,A relationship between a property and the feature of interest it belongs to,,,hasProperty,Property,FeatureOfInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/measuresProperty,measuresProperty,object property,A relationship specifying the property that can be measured by a certain device,,,isMeasuredByDevice,Device,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/relatesToMeasurement,relatesToMeasurement,object property,A relationship between a property and the measurements it relates to,,,relatesToProperty,Property,Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/isControlledByDevice,isControlledByDevice,object property,A relationship specifying the devices that can control a certain property,,,,Property,Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/isMeasuredByDevice,isMeasuredByDevice,object property,A relationship specifying the devices that can measure a certain property,,,measuresProperty,Measurement,Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/isMeasuredIn,isMeasuredIn,object property,A relationship identifying the unit of measure used for a certain entity.,,,,Measurement,UnitOfMeasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/isMeasurementOf,isMeasurementOf,object property,A relationship between a measurement and the feature of interest whose quality was measured,,,,Measurement,FeatureOfInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/makesMeasurement,makesMeasurement,object property,"A relation between a device and the measurements it makes. Such measurement will link together the value of the measurement, its unit of measure and the property to which it relates.",,,,Device,Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/relatesToProperty,relatesToProperty,object property,A relationship between a measurement and the property it relates to,,,isMeasuredByDevice,Measurement,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#detectProperty,detectProperty,object property,A relationship represent properties detected by a sensor,,,,Sensor,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://semanticscience.org/resource/SIO_000061,is located in,object property,,,,,Dataset,Uniform Resource Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#base_name,base_name,data property,A data property that represents the fundamental or primary name of an entity,,,,,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#base_sum,base_sum,data property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#base_time,base_time,data property,,,,,,xsd:dateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#base_value,base_value,data property,A data property that specifies a numerical or categorical value that serves as a reference point or standard for a given entity or property,,,,,xsd:float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://saref.etsi.org/core/hasValue,has_value,data property,"A relationship defining the value of a certain property, e.g., energy or power",,,,,xsd:float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#has_version,has_version,data property,"A relationship defining the version of a certain entity, e.g: device, etc",,,,,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#name,name,data property,The name of the item.,,,,,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#sum,sum,data property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#time,time,data property,A data property that represents the time when a sample was storaged,,,,Sample,xsd:dateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#update_time,update_time,data property,A data property that represents the date and time when an entity was last updated or modified.,,,,,xsd:dateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasAdditionalID,hasAdditionalID,data property,A data property that represents the additional sample identifier,,,,Sample,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasBatchNumber,hasBatchNumber,data property,A data property that represent the batch number of a sample,,,,Sample,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasTemperature,hasTemperature,data property,A data property that represents the storage temperature of a sample,,,,Sample,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasSampleId,hasSampleId,data property,A data property that represents the ID of a sample,,,,Sample,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#has_Email,has_Email,data property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#has_format,has_format,data property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#Sample_code_number,Sample_code_number,data property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#has_date,has_date,data property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,